No,HID_DIM,ENC_LAYERS/DEC_LAYERS,ENC_HEADS/DEC_HEADS,PF,PF_ACT,ENC_PF_DIM/DEC_PF_DIM,TE_TYPE,ENC_DROPOUT/DEC_DROPOUT,Time,Parameters,val_loss,val_PLL,BLEU
84,512,6,8,TRUE,relu,2048,0,0.2,31m40s,50247238,7.33,1522.21,0
85,256,3,4,TRUE,relu,2048,0,0.2,8m53s,11737926,2.35,10.44,16.49
86,512,3,4,TRUE,relu,2048,0,0.2,16m30s,28177990,2.78,16.12,4.4
87,256,6,4,TRUE,relu,2048,0,0.2,16m39s,20419398,6.65,776.32,0
88,512,6,4,TRUE,relu,2048,0,0.2,31m21s,50247238,6.49,659.14,0
89,256,3,8,TRUE,relu,2048,1,0.2,9m14s,11737926,3.75,42.33,0.31
90,512,3,8,TRUE,relu,2048,1,0.2,16m35s,28177990,4.5,90.17,0
91,256,6,8,TRUE,relu,2048,1,0.2,17m29s,20419398,7.66,2130.5,0
92,512,6,8,TRUE,relu,2048,1,0.2,32m5s,50247238,7.27,1435.68,0
93,256,3,4,TRUE,relu,2048,1,0.2,8m56s,11737926,4.25,70.15,0
94,512,3,4,TRUE,relu,2048,1,0.2,16m32s,28177990,4.5,89.79,0
95,256,6,4,TRUE,relu,2048,1,0.2,16m54s,20419398,6.7,812.99,0
96,512,6,4,TRUE,relu,2048,1,0.2,31m37s,50247238,6.7,814.02,0
97,256,3,8,TRUE,gelu,1024,0,0.1,7m59s,8586054,2.58,13.24,17.07
98,512,3,8,TRUE,gelu,1024,0,0.1,13m53s,21880390,2.84,17.14,9.7
99,256,6,8,TRUE,gelu,1024,0,0.1,14m44s,14115654,7.35,1561.41,0
100,512,6,8,TRUE,gelu,1024,0,0.1,26m14s,37652038,7.32,1516.45,0
101,256,3,4,TRUE,gelu,1024,0,0.1,7m31s,8586054,2.5,12.2,19.29
102,512,3,4,TRUE,gelu,1024,0,0.1,13m48s,21880390,2.74,15.54,12.31
103,256,6,4,TRUE,gelu,1024,0,0.1,14m1s,14115654,6.77,874.27,0
104,512,6,4,TRUE,gelu,1024,0,0.1,25m56s,37652038,6.95,1042.19,0
105,256,3,8,TRUE,gelu,1024,1,0.1,7m58s,8586054,2.45,11.65,14.21
106,512,3,8,TRUE,gelu,1024,1,0.1,13m57s,21880390,3.75,42.36,1.2
107,256,6,8,TRUE,gelu,1024,1,0.1,14m44s,14115654,7.76,2336.92,0
108,512,6,8,TRUE,gelu,1024,1,0.1,26m11s,37652038,5.17,175.59,0
109,256,3,4,TRUE,gelu,1024,1,0.1,7m29s,8586054,2.46,11.67,14.24
110,512,3,4,TRUE,gelu,1024,1,0.1,13m48s,21880390,4.09,60.04,0.36
111,256,6,4,TRUE,gelu,1024,1,0.1,13m57s,14115654,5.38,217.06,0
112,512,6,4,TRUE,gelu,1024,1,0.1,25m52s,37652038,5.17,176.05,0
113,256,3,8,TRUE,gelu,1024,0,0,7m48s,8586054,2.97,19.47,11.5
114,512,3,8,TRUE,gelu,1024,0,0,13m41s,21880390,2.92,18.53,12.08
115,256,6,8,TRUE,gelu,1024,0,0,14m24s,14115654,4.28,72.08,0
116,512,6,8,TRUE,gelu,1024,0,0,25m37s,37652038,5.18,177.45,0
117,256,3,4,TRUE,gelu,1024,0,0,7m22s,8586054,2.92,18.55,15.57
118,512,3,4,TRUE,gelu,1024,0,0,13m31s,21880390,2.89,17.97,13.8
119,256,6,4,TRUE,gelu,1024,0,0,13m32s,14115654,4.2,66.97,0
120,512,6,4,TRUE,gelu,1024,0,0,25m20s,37652038,5.18,178.44,0
121,256,3,8,TRUE,gelu,1024,1,0,7m47s,8586054,2.94,18.98,13.3
122,512,3,8,TRUE,gelu,1024,1,0,13m34s,21880390,3.94,51.54,0.43
123,256,6,8,TRUE,gelu,1024,1,0,14m26s,14115654,5.17,176.13,0
124,512,6,8,TRUE,gelu,1024,1,0,25m35s,37652038,5.19,178.77,0
125,256,3,4,TRUE,gelu,1024,1,0,7m20s,8586054,3,19.99,12.15
126,512,3,4,TRUE,gelu,1024,1,0,13m27s,21880390,3.87,47.86,0.49
127,256,6,4,TRUE,gelu,1024,1,0,13m30s,14115654,5.17,176.54,0
128,512,6,4,TRUE,gelu,1024,1,0,34m2s,37652038,5.18,178.08,0
129,256,3,8,TRUE,gelu,1024,0,0.2,7m49s,8586054,2.31,10.04,17.1
130,512,3,8,TRUE,gelu,1024,0,0.2,13m46s,21880390,2.6,13.51,7.23
131,256,6,8,TRUE,gelu,1024,0,0.2,14m39s,14115654,7.56,1919.17,0
132,512,6,8,TRUE,gelu,1024,0,0.2,25m57s,37652038,6.41,606.14,0
133,256,3,4,TRUE,gelu,1024,0,0.2,7m29s,8586054,2.31,10.09,17
134,512,3,4,TRUE,gelu,1024,0,0.2,13m41s,21880390,2.61,13.55,6.61
135,256,6,4,TRUE,gelu,1024,0,0.2,13m56s,14115654,6.82,916.28,0
136,512,6,4,TRUE,gelu,1024,0,0.2,25m45s,37652038,6.3,544.47,0
137,256,3,8,TRUE,gelu,1024,1,0.2,7m52s,8586054,2.89,18,5
138,512,3,8,TRUE,gelu,1024,1,0.2,13m43s,21880390,3.91,49.88,0.28
139,256,6,8,TRUE,gelu,1024,1,0.2,14m37s,14115654,6.16,474.99,0
140,512,6,8,TRUE,gelu,1024,1,0.2,25m49s,37652038,5.64,281.23,0
141,256,3,4,TRUE,gelu,1024,1,0.2,7m30s,8586054,2.54,12.68,11.33
142,512,3,4,TRUE,gelu,1024,1,0.2,13m34s,21880390,3.82,45.49,0.49
143,256,6,4,TRUE,gelu,1024,1,0.2,13m46s,14115654,6.82,919.93,0
144,512,6,4,TRUE,gelu,1024,1,0.2,25m32s,37652038,5.17,176.29,0
145,256,3,8,TRUE,gelu,2048,0,0.1,9m18s,11737926,2.56,12.88,17.81
146,512,3,8,TRUE,gelu,2048,0,0.1,16m43s,28177990,2.84,17.16,9.27
147,256,6,8,TRUE,gelu,2048,0,0.1,17m27s,20419398,7.24,1400.4,0
148,512,6,8,TRUE,gelu,2048,0,0.1,31m42s,50247238,5.17,175.85,0
149,256,3,4,TRUE,gelu,2048,0,0.1,8m54s,11737926,2.55,12.81,16.55
150,512,3,4,TRUE,gelu,2048,0,0.1,16m36s,28177990,2.89,18,7.39
151,256,6,4,TRUE,gelu,2048,0,0.1,16m40s,20419398,6.91,1001.51,0
152,512,6,4,TRUE,gelu,2048,0,0.1,31m23s,50247238,6,402.31,0
153,256,3,8,TRUE,gelu,2048,1,0.1,9m22s,11737926,3.28,26.55,2.99
154,512,3,8,TRUE,gelu,2048,1,0.1,16m44s,28177990,4.4,81.15,0
155,256,6,8,TRUE,gelu,2048,1,0.1,17m26s,20419398,5.16,174.33,0
156,512,6,8,TRUE,gelu,2048,1,0.1,31m42s,50247238,5.18,177.62,0
157,256,3,4,TRUE,gelu,2048,1,0.1,8m55s,11737926,3.56,35.03,1.42
158,512,3,4,TRUE,gelu,2048,1,0.1,16m31s,28177990,4.15,63.33,0.37
159,256,6,4,TRUE,gelu,2048,1,0.1,16m46s,20419398,5.16,174.04,0
160,512,6,4,TRUE,gelu,2048,1,0.1,31m26s,50247238,6.5,665.46,0
161,256,3,8,TRUE,gelu,2048,0,0,9m4s,11737926,2.95,19.13,13.06
162,512,3,8,TRUE,gelu,2048,0,0,16m25s,28177990,2.87,17.6,9.55
163,256,6,8,TRUE,gelu,2048,0,0,16m58s,20419398,5.07,159.5,0
164,512,6,8,TRUE,gelu,2048,0,0,31m11s,50247238,5.18,178.2,0
165,256,3,4,TRUE,gelu,2048,0,0,8m40s,11737926,2.96,19.36,11.3
166,512,3,4,TRUE,gelu,2048,0,0,16m14s,28177990,2.96,19.22,7.78
167,256,6,4,TRUE,gelu,2048,0,0,16m4s,20419398,5.15,172.9,0
168,512,6,4,TRUE,gelu,2048,0,0,30m44s,50247238,5.18,178.36,0
169,256,3,8,TRUE,gelu,2048,1,0,9m9s,11737926,2.99,19.87,7.2
170,512,3,8,TRUE,gelu,2048,1,0,16m20s,28177990,4.36,78.55,0
171,256,6,8,TRUE,gelu,2048,1,0,16m56s,20419398,5.17,176.08,0
172,512,6,8,TRUE,gelu,2048,1,0,31m0s,50247238,5.19,178.68,0
173,256,3,4,TRUE,gelu,2048,1,0,8m35s,11737926,3.44,31.11,2.89
174,512,3,4,TRUE,gelu,2048,1,0,16m12s,28177990,4.38,79.48,0
175,256,6,4,TRUE,gelu,2048,1,0,16m2s,20419398,5.17,176.17,0
176,512,6,4,TRUE,gelu,2048,1,0,30m43s,50247238,5.19,178.62,0
177,256,3,8,TRUE,gelu,2048,0,0.2,9m19s,11737926,2.32,10.21,16.06
178,512,3,8,TRUE,gelu,2048,0,0.2,16m46s,28177990,2.65,14.11,8.98
179,256,6,8,TRUE,gelu,2048,0,0.2,17m30s,20419398,7.33,1527.87,0
180,512,6,8,TRUE,gelu,2048,0,0.2,31m41s,50247238,6.62,752.3,0
181,256,3,4,TRUE,gelu,2048,0,0.2,8m59s,11737926,2.32,10.13,17.7
182,512,3,4,TRUE,gelu,2048,0,0.2,16m35s,28177990,2.6,13.4,5.93
183,256,6,4,TRUE,gelu,2048,0,0.2,16m43s,20419398,7.05,1147.7,0
184,512,6,4,TRUE,gelu,2048,0,0.2,31m26s,50247238,6.46,638.19,0
185,256,3,8,TRUE,gelu,2048,1,0.2,9m19s,11737926,3.57,35.45,0.78
186,512,3,8,TRUE,gelu,2048,1,0.2,16m43s,28177990,4.33,76.32,0
187,256,6,8,TRUE,gelu,2048,1,0.2,17m31s,20419398,7.69,2175.89,0
188,512,6,8,TRUE,gelu,2048,1,0.2,31m42s,50247238,6.83,927.34,0
189,256,3,4,TRUE,gelu,2048,1,0.2,8m52s,11737926,3.63,37.75,0.72
190,512,3,4,TRUE,gelu,2048,1,0.2,16m34s,28177990,4.22,67.92,0.32
191,256,6,4,TRUE,gelu,2048,1,0.2,16m43s,20419398,6.78,881.82,0
192,512,6,4,TRUE,gelu,2048,1,0.2,31m29s,50247238,6.22,502.71,0
193,256,3,8,FALSE,,1024,0,0.1,5m32s,8586054,2.51,12.29,18.28
194,512,3,8,FALSE,,1024,0,0.1,10m15s,21880390,2.8,16.39,15.57
195,256,6,8,FALSE,,1024,0,0.1,10m10s,14115654,2.96,19.36,1.84
196,512,6,8,FALSE,,1024,0,0.1,18m52s,37652038,6.64,766.92,0
197,256,3,4,FALSE,,1024,0,0.1,5m11s,8586054,2.47,11.87,18.11
198,512,3,4,FALSE,,1024,0,0.1,10m9s,21880390,2.76,15.83,13.09
199,256,6,4,FALSE,,1024,0,0.1,9m19s,14115654,2.88,17.77,3.1
200,512,6,4,FALSE,,1024,0,0.1,18m33s,37652038,6.26,523.34,0
201,256,3,8,FALSE,,1024,1,0.1,5m37s,8586054,2.45,11.53,16.23
202,512,3,8,FALSE,,1024,1,0.1,10m18s,21880390,2.82,16.7,13.43
203,256,6,8,FALSE,,1024,1,0.1,10m2s,14115654,5.94,379.21,0
